URL,Thumbnail URL,Views,Likes,Time Posted,Title
https://www.youtube.com/watch?v=ZuY64wUksww,https://i.ytimg.com/vi/ZuY64wUksww/hqdefault.jpg,17555,777,2024-05-24T11:00:26Z,Ye 4 ke Piche ka Raaz Kya Hai ⁉ #4SaalDumdaar
https://www.youtube.com/watch?v=QTxPuaQMV8w,https://i.ytimg.com/vi/QTxPuaQMV8w/hqdefault.jpg,28094,1165,2024-05-24T08:30:05Z,Let's Celebrate 4 Years of Revolution !! 😍 #PW #Shorts #4SaalDumdaar
https://www.youtube.com/watch?v=q6p8sItwDMQ,https://i.ytimg.com/vi/q6p8sItwDMQ/hqdefault.jpg,27834,1149,2024-05-24T06:58:31Z,Complete 2 Years ROADMAP for Physics || How to Crack JEE 2026?
https://www.youtube.com/watch?v=p8U4w8IGfdM,https://i.ytimg.com/vi/p8U4w8IGfdM/hqdefault.jpg,40075,1976,2024-05-23T13:30:31Z,Alakh Sir लेके आरहे हैं बहुत सारे Surprises on 25th May 🎁🤩 #PW #Shorts #4SaalDumdaar
https://www.youtube.com/watch?v=JD_OFTo66M4,https://i.ytimg.com/vi/JD_OFTo66M4/hqdefault.jpg,67704,3505,2024-05-23T10:45:00Z,Aisa Kya Hone Wala hai 25th May ko? 😱 #PW #Shorts #4SaalDumdaar
https://www.youtube.com/watch?v=GVJxWztKk-I,https://i.ytimg.com/vi/GVJxWztKk-I/hqdefault.jpg,43456,1859,2024-05-23T07:20:37Z,Complete 2 Years ROADMAP for Maths || How to Crack JEE 2026?
https://www.youtube.com/watch?v=RamAG7pPEGw,https://i.ytimg.com/vi/RamAG7pPEGw/hqdefault.jpg,23537,1373,2024-05-22T15:30:05Z,Ye 4 ka Kya Funda Hai? 😁 #PW #Shorts #4SaalDumdaar
https://www.youtube.com/watch?v=ChQI6iluoZg,https://i.ytimg.com/vi/ChQI6iluoZg/hqdefault.jpg,43247,2439,2024-05-22T13:30:09Z,"Bachhon ka Pyaar, 4 Saal Dumdaar !! 💪💪 #PW #Shorts #4SaalDumdaar"
https://www.youtube.com/watch?v=hlfPnHH_6DQ,https://i.ytimg.com/vi/hlfPnHH_6DQ/hqdefault.jpg,15129,1139,2024-05-22T07:00:21Z,Pro Tip to Make Your Maths NOTES 🤫 #PW #Shorts #MathsTips
https://www.youtube.com/watch?v=-IQv12z7-2M,https://i.ytimg.com/vi/-IQv12z7-2M/hqdefault.jpg,142947,5267,2024-05-21T16:50:33Z,"Class 11 2025 NEW BATCHES with 2x POWER🔥Arjuna JEE 2.0 & Arjuna NEET 2.0 for Complete year @₹4,500 🤯"
https://www.youtube.com/watch?v=USLZZmqsp7s,https://i.ytimg.com/vi/USLZZmqsp7s/hqdefault.jpg,18774,808,2024-05-21T14:06:21Z,First Class of POLITICAL SCIENCE by Rahul Sir || PAHAL Batch || Class 11th Arts 🔥
https://www.youtube.com/watch?v=zsRKgg1WUg4,https://i.ytimg.com/vi/zsRKgg1WUg4/hqdefault.jpg,10241,364,2024-05-21T13:30:27Z,Class 10th Maths के ये Chapters हलके में मत लेना 😥 | Class 10th Maths Most Important Chapters ✅
https://www.youtube.com/watch?v=Stc91SkjkeM,https://i.ytimg.com/vi/Stc91SkjkeM/hqdefault.jpg,20801,920,2024-05-21T12:08:52Z,First Class of ECONOMICS by Joginder Sir || PAHAL Batch || Class 11th Arts 🔥
https://www.youtube.com/watch?v=mEWkXu_x8Cs,https://i.ytimg.com/vi/mEWkXu_x8Cs/hqdefault.jpg,56160,2800,2024-05-21T10:34:50Z,How To Prepare For NEET After Class 10th 🤯
https://www.youtube.com/watch?v=aY1uLQf1iOo,https://i.ytimg.com/vi/aY1uLQf1iOo/hqdefault.jpg,68348,3336,2024-05-20T15:23:20Z,How to prepare for IIT-JEE after Class 10th? 🤯🔥
https://www.youtube.com/watch?v=23YpdWydAUw,https://i.ytimg.com/vi/23YpdWydAUw/hqdefault.jpg,5340,157,2024-05-19T11:30:02Z,Launching NEEV हिंदी 2025 Batch || ₹1999/- For Complete Year🔥
https://www.youtube.com/watch?v=i9BWBcBEVao,https://i.ytimg.com/vi/i9BWBcBEVao/hqdefault.jpg,16634,680,2024-05-19T09:30:11Z,Self Study को कितना Time दिया ⁉ #PW #Shorts #CBSEClass10thResult
https://www.youtube.com/watch?v=b-55abJt5N0,https://i.ytimg.com/vi/b-55abJt5N0/hqdefault.jpg,23547,1360,2024-05-19T08:30:14Z,Thoda Distraction is Acceptable! 😇 #PW #Shorts #CBSEClass10thResult
https://www.youtube.com/watch?v=zV_DTclPd4Y,https://i.ytimg.com/vi/zV_DTclPd4Y/hqdefault.jpg,11263,472,2024-05-19T07:30:25Z,How to Keep Your JOSH High Throughout the Year? 😅 #PW #Shorts #CBSEClass10thResult
